Policy Date,Repo,Change,Type,CPI,CPI_Change,Expected,Pre_Return,Day_Before_Return,Same_Day_Return,Post_Return,Month_Advance_Return,Surprise,Average_pre,Average post,Average day before,Average same day,Average Month
2022-08-05,5.4,0.5,Hike,174.3,0.9000000000000057,Hike,0.013000000000000001,-0.0004,0.0009,0.0079,0.007599999999999998,No,0.013000000000000001,0.0079,-0.0004,0.0009,0.007599999999999998
2022-09-30,5.9,0.5,Hike,175.3,1.0,Hike,-0.029599999999999998,-0.0024,0.0164,0.0108,0.027599999999999996,No,-0.029599999999999998,0.0108,-0.0024,0.0164,0.027599999999999996
2022-12-07,6.25,0.3499999999999996,Hike,175.7,-0.8000000000000114,Cut,-0.009,-0.0031,-0.0044,-0.0035000000000000005,-0.022899999999999997,Yes,-0.009,-0.0035000000000000005,-0.0031,-0.0044,-0.022899999999999997
2023-02-08,6.5,0.25,Hike,176.8,0.30000000000001137,Hike,0.0063999999999999994,-0.0024,0.0085,-0.005699999999999999,-0.032299999999999995,No,0.0063999999999999994,-0.005699999999999999,-0.0024,0.0085,-0.032299999999999995
2024-12-14,6.5,0.0,Cut,195.4,-1.0999999999999943,Cut,0.0036,0.0089,0.0,-0.0333,-0.030699999999999998,No,0.0036,-0.0333,0.0089,0.0,-0.030699999999999998
2024-12-28,6.5,0.0,Cut,195.4,-1.0999999999999943,Cut,0.009600000000000001,0.0027,0.0,0.0158,-0.0255,No,0.009600000000000001,0.0158,0.0027,0.0,-0.0255
2025-02-07,6.25,-0.25,Cut,192.5,-0.9000000000000057,Cut,0.0053,-0.0039,-0.0018,-0.022,-0.0438,No,0.0053,-0.022,-0.0039,-0.0018,-0.0438
2025-04-09,6.0,-0.25,Cut,192.6,0.5999999999999943,Hike,-0.030399999999999996,0.0169,-0.0061,0.0192,0.0837,Yes,-0.030399999999999996,0.0192,0.0169,-0.0061,0.0837
2025-06-06,5.5,-0.5,Cut,194.2,1.1999999999999886,Hike,0.00010000000000000026,0.0053,0.0102,0.0055,0.0219,Yes,0.00010000000000000026,0.0055,0.0053,0.0102,0.0219
2025-09-06,5.5,0.0,Cut,197.0,0.0,Cut,0.0129,0.0003,0.0,0.010699999999999998,-0.003300000000000001,No,0.0129,0.010699999999999998,0.0003,0.0,-0.003300000000000001
2025-10-04,5.5,0.0,Cut,197.3,0.30000000000001137,Hike,0.0097,0.0023,0.0,0.0115,0.03579999999999999,Yes,0.0097,0.0115,0.0023,0.0,0.03579999999999999
2025-11-01,5.5,0.0,Cut,197.9,0.5999999999999943,Hike,-0.0028000000000000013,-0.006,0.0,-0.0082,0.013500000000000002,Yes,-0.0028000000000000013,-0.0082,-0.006,0.0,0.013500000000000002
2025-11-29,5.5,0.0,Cut,197.9,0.5999999999999943,Hike,0.0052,-0.0005,0.0,-0.006500000000000001,-0.009000000000000001,Yes,0.0052,-0.006500000000000001,-0.0005,0.0,-0.009000000000000001
2025-12-05,5.25,-0.25,Cut,104.1,-93.80000000000001,Cut,-0.006500000000000001,0.0018,0.0059,-0.0165,-0.0015999999999999986,No,-0.006500000000000001,-0.0165,0.0018,0.0059,-0.0015999999999999986
